ValueDate,TheValue
30/05/2016,7
27/05/2016,7
26/05/2016,7
25/05/2016,7
24/05/2016,7
23/05/2016,7
20/05/2016,7
19/05/2016,7
18/05/2016,7
17/05/2016,7
16/05/2016,7
13/05/2016,7
12/05/2016,7
11/05/2016,7
10/05/2016,7
09/05/2016,7
06/05/2016,7
05/05/2016,7
04/05/2016,7
03/05/2016,7
29/04/2016,7
28/04/2016,7
26/04/2016,7
25/04/2016,7
22/04/2016,7
21/04/2016,7
20/04/2016,7
19/04/2016,7
18/04/2016,7
15/04/2016,7
14/04/2016,7
13/04/2016,7
12/04/2016,7
11/04/2016,7
08/04/2016,7
07/04/2016,7
06/04/2016,7
05/04/2016,7
04/04/2016,7
01/04/2016,7
31/03/2016,7
30/03/2016,7
29/03/2016,7
24/03/2016,7
23/03/2016,7
22/03/2016,7
18/03/2016,7
17/03/2016,6.75
16/03/2016,6.75
15/03/2016,6.75
14/03/2016,6.75
11/03/2016,6.75
10/03/2016,6.75
09/03/2016,6.75
08/03/2016,6.75
07/03/2016,6.75
05/03/2016,6.75
04/03/2016,6.75
03/03/2016,6.75
02/03/2016,6.75
01/03/2016,6.75
29/02/2016,6.75
26/02/2016,6.75
25/02/2016,6.75
24/02/2016,6.75
23/02/2016,6.75
22/02/2016,6.75
19/02/2016,6.75
18/02/2016,6.75
17/02/2016,6.75
16/02/2016,6.75
15/02/2016,6.75
12/02/2016,6.75
11/02/2016,6.75
10/02/2016,6.75
09/02/2016,6.75
08/02/2016,6.75
06/02/2016,6.75
05/02/2016,6.75
04/02/2016,6.75
03/02/2016,6.75
02/02/2016,6.75
01/02/2016,6.75
29/01/2016,6.75
28/01/2016,6.25
27/01/2016,6.25
26/01/2016,6.25
25/01/2016,6.25
22/01/2016,6.25
21/01/2016,6.25
20/01/2016,6.25
19/01/2016,6.25
18/01/2016,6.25
15/01/2016,6.25
14/01/2016,6.25
13/01/2016,6.25
12/01/2016,6.25
11/01/2016,6.25
08/01/2016,6.25
07/01/2016,6.25
06/01/2016,6.25
05/01/2016,6.25
04/01/2016,6.25
01/01/2016,6.25
31/12/2015,6.25
30/12/2015,6.25
29/12/2015,6.25
28/12/2015,6.25
24/12/2015,6.25
23/12/2015,6.25
22/12/2015,6.25
21/12/2015,6.25
19/12/2015,6.25
18/12/2015,6.25
17/12/2015,6.25
16/12/2015,6.25
15/12/2015,6.25
14/12/2015,6.25
11/12/2015,6.25
10/12/2015,6.25
09/12/2015,6.25
08/12/2015,6.25
07/12/2015,6.25
04/12/2015,6.25
03/12/2015,6.25
02/12/2015,6.25
01/12/2015,6.25
30/11/2015,6.25
27/11/2015,6.25
26/11/2015,6.25
25/11/2015,6.25
24/11/2015,6.25
23/11/2015,6.25
20/11/2015,6.25
19/11/2015,6
18/11/2015,6
17/11/2015,6
16/11/2015,6
13/11/2015,6
12/11/2015,6
11/11/2015,6
10/11/2015,6
09/11/2015,6
06/11/2015,6
05/11/2015,6
04/11/2015,6
03/11/2015,6
02/11/2015,6
30/10/2015,6
29/10/2015,6
28/10/2015,6
27/10/2015,6
26/10/2015,6
23/10/2015,6
22/10/2015,6
21/10/2015,6
20/10/2015,6
19/10/2015,6
16/10/2015,6
15/10/2015,6
14/10/2015,6
13/10/2015,6
12/10/2015,6
09/10/2015,6
08/10/2015,6
07/10/2015,6
06/10/2015,6
05/10/2015,6
02/10/2015,6
01/10/2015,6
30/09/2015,6
29/09/2015,6
28/09/2015,6
25/09/2015,6
23/09/2015,6
22/09/2015,6
21/09/2015,6
18/09/2015,6
17/09/2015,6
16/09/2015,6
15/09/2015,6
14/09/2015,6
11/09/2015,6
10/09/2015,6
09/09/2015,6
08/09/2015,6
07/09/2015,6
04/09/2015,6
03/09/2015,6
02/09/2015,6
01/09/2015,6
31/08/2015,6
28/08/2015,6
27/08/2015,6
26/08/2015,6
25/08/2015,6
24/08/2015,6
21/08/2015,6
20/08/2015,6
19/08/2015,6
18/08/2015,6
17/08/2015,6
14/08/2015,6
13/08/2015,6
12/08/2015,6
11/08/2015,6
10/08/2015,6
07/08/2015,6
06/08/2015,6
05/08/2015,6
04/08/2015,6
03/08/2015,6
31/07/2015,6
30/07/2015,6
29/07/2015,6
28/07/2015,6
27/07/2015,6
24/07/2015,6
23/07/2015,5.75
22/07/2015,5.75
21/07/2015,5.75
20/07/2015,5.75
17/07/2015,5.75
16/07/2015,5.75
15/07/2015,5.75
14/07/2015,5.75
13/07/2015,5.75
10/07/2015,5.75
09/07/2015,5.75
08/07/2015,5.75
07/07/2015,5.75
06/07/2015,5.75
04/07/2015,5.75
03/07/2015,5.75
02/07/2015,5.75
01/07/2015,5.75
30/06/2015,5.75
29/06/2015,5.75
27/06/2015,5.75
26/06/2015,5.75
25/06/2015,5.75
24/06/2015,5.75
23/06/2015,5.75
22/06/2015,5.75
20/06/2015,5.75
19/06/2015,5.75
18/06/2015,5.75
17/06/2015,5.75
15/06/2015,5.75
13/06/2015,5.75
12/06/2015,5.75
11/06/2015,5.75
10/06/2015,5.75
09/06/2015,5.75
08/06/2015,5.75
06/06/2015,5.75
05/06/2015,5.75
04/06/2015,5.75
03/06/2015,5.75
02/06/2015,5.75
01/06/2015,5.75
30/05/2015,5.75
29/05/2015,5.75
28/05/2015,5.75
27/05/2015,5.75
26/05/2015,5.75
25/05/2015,5.75
23/05/2015,5.75
22/05/2015,5.75
21/05/2015,5.75
20/05/2015,5.75
19/05/2015,5.75
18/05/2015,5.75
16/05/2015,5.75
15/05/2015,5.75
14/05/2015,5.75
13/05/2015,5.75
12/05/2015,5.75
11/05/2015,5.75
09/05/2015,5.75
08/05/2015,5.75
07/05/2015,5.75
06/05/2015,5.75
05/05/2015,5.75
04/05/2015,5.75
02/05/2015,5.75
30/04/2015,5.75
29/04/2015,5.75
28/04/2015,5.75
25/04/2015,5.75
24/04/2015,5.75
23/04/2015,5.75
22/04/2015,5.75
21/04/2015,5.75
20/04/2015,5.75
18/04/2015,5.75
17/04/2015,5.75
16/04/2015,5.75
15/04/2015,5.75
14/04/2015,5.75
13/04/2015,5.75
11/04/2015,5.75
10/04/2015,5.75
09/04/2015,5.75
08/04/2015,5.75
07/04/2015,5.75
04/04/2015,5.75
02/04/2015,5.75
01/04/2015,5.75
31/03/2015,5.75
30/03/2015,5.75
28/03/2015,5.75
27/03/2015,5.75
26/03/2015,5.75
25/03/2015,5.75
24/03/2015,5.75
23/03/2015,5.75
21/03/2015,5.75
20/03/2015,5.75
19/03/2015,5.75
18/03/2015,5.75
17/03/2015,5.75
16/03/2015,5.75
14/03/2015,5.75
13/03/2015,5.75
12/03/2015,5.75
11/03/2015,5.75
10/03/2015,5.75
09/03/2015,5.75
07/03/2015,5.75
06/03/2015,5.75
05/03/2015,5.75
04/03/2015,5.75
03/03/2015,5.75
02/03/2015,5.75
28/02/2015,5.75
27/02/2015,5.75
26/02/2015,5.75
25/02/2015,5.75
